facility_id,County,n_inspections,n_investigations,n_enforcement,n_limitations,n_other,n_docs_total,n_civil_fines,n_stop_placement,n_conditions,years_present,latest_year,latest_enforcement_year,fetch_status
F01895,King,0,0,0,0,0,0,0,0,0,,,,ok
F01897,King,0,0,0,0,0,0,0,0,0,,,,ok
F01898,Spokane,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F01900,Pierce,0,2,0,0,0,2,0,0,0,"2023,2024",2024,,ok
F01899,King,0,0,0,0,0,0,0,0,0,,,,ok
F01901,King,0,0,0,0,0,0,0,0,0,,,,ok
F01902,King,0,0,0,0,0,0,0,0,0,,,,ok
F01904,King,0,0,0,0,0,0,0,0,0,,,,ok
F01903,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F01905,King,0,0,0,0,0,0,0,0,0,,,,ok
F01906,King,0,1,0,0,0,1,0,0,0,2024,2024,,ok
F01907,Spokane,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F01872,King,0,0,0,0,0,0,0,0,0,,,,ok
F01908,King,1,0,1,0,0,2,1,0,0,2026,2026,2026,ok
F01909,King,0,0,0,0,0,0,0,0,0,,,,ok
F01910,Spokane,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F01911,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F01874,King,0,0,0,0,0,0,0,0,0,,,,ok
F01912,Spokane,1,1,0,0,0,2,0,0,0,2024,2024,,ok
F01914,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F01915,King,0,0,0,0,0,0,0,0,0,,,,ok
F01919,King,0,1,0,0,0,1,0,0,0,2025,2025,,ok
F01917,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F01916,Spokane,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F01920,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F01921,King,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F01924,Spokane,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F01922,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F01923,King,0,1,0,0,0,1,0,0,0,2024,2024,,ok
F01891,King,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F01925,King,0,0,0,0,0,0,0,0,0,,,,ok
F01927,Pierce,0,0,0,0,0,0,0,0,0,,,,ok
F01926,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F01928,Spokane,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F01929,Spokane,1,2,0,0,0,3,0,0,0,"2024,2025",2025,,ok
F01931,King,0,0,0,0,0,0,0,0,0,,,,ok
F01932,King,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F01934,Pierce,1,0,0,0,0,1,0,0,0,2023,2023,,ok
F01765,Spokane,1,1,0,0,0,2,0,0,0,"2024,2025",2025,,ok
F01933,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F01935,Pierce,0,0,0,0,0,0,0,0,0,,,,ok
F01936,Spokane,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F01937,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F01938,King,0,0,0,0,0,0,0,0,0,,,,ok
F01940,King,0,0,0,0,0,0,0,0,0,,,,ok
F01941,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F01942,King,0,0,0,0,0,0,0,0,0,,,,ok
F01943,King,0,0,0,0,0,0,0,0,0,,,,ok
F01913,King,1,1,0,0,0,2,0,0,0,"2024,2025",2025,,ok
F01944,Pierce,0,0,0,3,0,3,0,0,0,"2023,2025",2025,,ok
F01946,Pierce,1,1,0,0,0,2,0,0,0,"2024,2025",2025,,ok
F01945,King,1,1,3,0,0,5,0,2,0,"2025,2026",2026,2026,ok
F01947,Spokane,2,1,0,0,0,3,0,0,0,"2023,2024,2025",2025,,ok
F01948,King,0,0,0,0,0,0,0,0,0,,,,ok
F01950,Spokane,2,0,0,0,0,2,0,0,0,2025,2025,,ok
F01918,King,1,0,0,0,0,1,0,0,0,2026,2026,,ok
F01952,Pierce,1,1,1,0,0,3,1,0,0,"2023,2024",2024,2023,ok
F01951,King,0,0,0,0,0,0,0,0,0,,,,ok
F01954,Spokane,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F01953,Pierce,1,1,0,0,0,2,0,0,0,"2024,2025",2025,,ok
F01955,King,0,1,0,0,0,1,0,0,0,2025,2025,,ok
F01957,Pierce,1,0,0,3,0,4,0,0,0,"2023,2025",2025,,ok
F01958,King,0,0,0,0,0,0,0,0,0,,,,ok
F01959,Pierce,1,1,0,0,0,2,0,0,0,"2023,2025",2025,,ok
F01961,King,1,1,0,0,0,2,0,0,0,2024,2024,,ok
F01960,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F01962,King,0,1,0,0,0,1,0,0,0,2025,2025,,ok
F01930,Spokane,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F01963,Spokane,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F01964,Pierce,1,1,0,0,0,2,0,0,0,"2023,2024",2024,,ok
F01966,Pierce,0,0,0,0,0,0,0,0,0,,,,ok
F01965,Pierce,1,1,0,0,0,2,0,0,0,2025,2025,,ok
F01967,Pierce,0,0,0,2,0,2,0,0,0,2023,2023,,ok
F01969,King,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F01970,King,0,0,0,0,0,0,0,0,0,,,,ok
F01972,King,0,1,0,0,0,1,0,0,0,2025,2025,,ok
F01971,King,0,0,0,0,0,0,0,0,0,,,,ok
F01973,King,0,0,0,0,0,0,0,0,0,,,,ok
F01974,King,0,1,1,0,0,2,1,0,0,2025,2025,2025,ok
F01975,King,0,0,0,0,0,0,0,0,0,,,,ok
F01976,King,0,0,0,0,0,0,0,0,0,,,,ok
F01977,King,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F01978,King,0,0,0,0,0,0,0,0,0,,,,ok
F01979,King,0,1,0,0,0,1,0,0,0,2025,2025,,ok
F01939,King,0,0,1,0,0,1,1,0,0,2026,2026,2026,ok
F01980,King,0,1,0,0,0,1,0,0,0,2024,2024,,ok
F01982,Pierce,0,0,0,0,0,0,0,0,0,,,,ok
F01981,King,0,1,0,0,0,1,0,0,0,2025,2025,,ok
F01949,King,0,0,0,0,0,0,0,0,0,,,,ok
F01880,King,0,0,0,0,0,0,0,0,0,,,,ok
F01983,Pierce,0,0,0,0,0,0,0,0,0,,,,ok
F01984,Spokane,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F01986,Spokane,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F01987,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F01988,King,1,0,0,0,0,1,0,0,0,2026,2026,,ok
F01956,Spokane,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F01993,Spokane,1,1,0,0,0,2,0,0,0,"2023,2024",2024,,ok
F01991,King,0,0,0,0,0,0,0,0,0,,,,ok
F01994,King,0,0,0,0,0,0,0,0,0,,,,ok
F01992,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F01995,Pierce,0,0,0,0,0,0,0,0,0,,,,ok
F01997,King,0,0,0,0,0,0,0,0,0,,,,ok
F01999,King,0,1,0,0,0,1,0,0,0,2024,2024,,ok
F01998,King,0,0,0,0,0,0,0,0,0,,,,ok
F02000,King,0,0,0,0,0,0,0,0,0,,,,ok
F02001,King,0,0,0,0,0,0,0,0,0,,,,ok
F01968,King,0,1,0,0,0,1,0,0,0,2024,2024,,ok
F02002,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02003,King,0,0,0,0,0,0,0,0,0,,,,ok
F02004,King,0,1,1,0,0,2,1,0,0,2024,2024,2024,ok
F02005,King,1,1,0,0,0,2,0,0,0,"2024,2025",2025,,ok
F02008,King,0,0,0,0,0,0,0,0,0,,,,ok
F02006,Pierce,0,0,0,0,0,0,0,0,0,,,,ok
F02009,Spokane,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F02010,King,0,0,0,0,0,0,0,0,0,,,,ok
F02012,King,0,0,0,0,0,0,0,0,0,,,,ok
F02011,Spokane,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F02013,King,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F02014,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02015,Pierce,1,0,0,0,0,1,0,0,0,2023,2023,,ok
F02018,King,0,1,0,0,0,1,0,0,0,2025,2025,,ok
F01985,Spokane,1,2,0,0,0,3,0,0,0,"2024,2025",2025,,ok
F02019,King,0,0,0,0,0,0,0,0,0,,,,ok
F02016,King,0,0,0,0,0,0,0,0,0,,,,ok
F02017,Pierce,1,1,1,0,0,3,1,0,0,2025,2025,2025,ok
F01989,Spokane,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F02020,King,0,1,0,0,0,1,0,0,0,2024,2024,,ok
F01990,King,1,0,0,0,0,1,0,0,0,2026,2026,,ok
F02024,King,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02023,Spokane,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02021,King,1,1,0,0,0,2,0,0,0,2025,2025,,ok
F02025,Spokane,1,1,0,0,0,2,0,0,0,2024,2024,,ok
F01996,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02030,Pierce,0,0,0,0,0,0,0,0,0,,,,ok
F02027,Pierce,1,1,0,0,0,2,0,0,0,2025,2025,,ok
F02029,King,0,2,1,0,0,3,1,0,0,"2024,2025",2025,2025,ok
F02031,Spokane,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F02032,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
