facility_id,County,Licensed_Capacity,Medicaid_Contract_Flag,Specialty,Contract,n_inspections,n_investigations,n_enforcement,n_civil_fines,n_stop_placement,n_conditions,phone_shared_count,RF03_multi_home_operator,RF08_network_cluster,high_complaint_load,has_enforcement,has_stop_placement,has_condition,RF06_exclusion_match,latest_enforcement_year
F00845,King,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1,1,0,0,0,0,1,False,False,False,False,False,False,False,
F00846,King,5,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00847,King,6,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",0,1,0,0,0,0,1,False,False,False,False,False,False,False,
F00848,King,6,No/Unknown,"Mental Health, Dementia, Developmental Disabilities",,1,0,0,0,0,0,3,True,True,False,False,False,False,False,
F00849,Spokane,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services, Specialized Behavior Support",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00850,King,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",1,1,0,0,0,0,1,False,False,False,False,False,False,False,
F00851,Pierce,5,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",2,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00852,Pierce,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00853,Pierce,8,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1,2,0,0,0,0,1,False,False,False,False,False,False,False,
F00854,King,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",0,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00855,King,8,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00856,Pierce,6,No/Unknown,"Mental Health, Dementia",,2,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00857,Pierce,6,No/Unknown,"Mental Health, Dementia, Developmental Disabilities",,1,4,0,0,0,0,1,False,False,True,False,False,False,False,
F00858,King,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",1,0,0,0,0,0,2,True,False,False,False,False,False,False,
F00859,Pierce,6,Yes (has DSHS contract),"Mental Health, Dementia",Adult Family Home,1,1,0,0,0,0,1,False,False,False,False,False,False,False,
F00860,Pierce,6,No/Unknown,"Mental Health, Dementia",,1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00861,King,8,Yes (has DSHS contract),"Mental Health, Dementia",Adult Family Home,1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00862,King,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services, Specialized Behavior Support",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00863,Pierce,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services, Specialized Behavior Support",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00864,Spokane,8,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, Expanded Community Services, Private Duty Nursing, Specialized Behavior Support",2,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00865,King,6,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",1,0,0,0,0,0,2,True,False,False,False,False,False,False,
F00866,King,6,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00867,Spokane,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",2,1,1,1,0,0,1,False,False,False,True,False,False,False,2023
F00868,King,6,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1,1,0,0,0,0,1,False,False,False,False,False,False,False,
F00869,Pierce,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00870,King,6,Yes (has DSHS contract),"Mental Health, Dementia",Adult Family Home,1,2,0,0,0,0,1,False,False,False,False,False,False,False,
F00871,King,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day",1,0,1,1,0,0,1,False,False,False,True,False,False,False,2026
F00872,King,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",0,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00873,Spokane,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services, Specialized Behavior Support",2,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00874,King,6,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00875,Pierce,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00876,Pierce,3,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00877,King,4,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1,2,0,0,0,0,3,True,True,False,False,False,False,False,
F00878,King,8,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00879,King,6,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00880,Pierce,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1,2,0,0,0,0,1,False,False,False,False,False,False,False,
F00881,Spokane,6,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1,1,0,0,0,0,1,False,False,False,False,False,False,False,
F00882,King,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00883,King,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00884,Pierce,5,Yes (has DSHS contract),"Mental Health, Dementia","AFH Respite, Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",1,1,2,2,0,0,1,False,False,False,True,False,False,False,2026
F00885,King,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",1,0,1,1,0,0,1,False,False,False,True,False,False,False,2025
F00886,King,5,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00887,Pierce,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00888,King,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",1,0,0,0,0,0,2,True,False,False,False,False,False,False,
F00889,Pierce,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services",2,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00890,King,5,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support, WCF AFH SOW",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00891,Pierce,6,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, Expanded Community Services",2,0,0,0,0,0,2,True,False,False,False,False,False,False,
F00892,King,6,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1,0,0,0,0,0,2,True,False,False,False,False,False,False,
