facility_id,License_Status,County,Licensed_Capacity,Specialty,Contract,RCS_Region_Unit,Has_Public_Reports,DateAccessed,Medicaid_Contract_Flag,n_inspections,n_investigations,n_enforcement,n_limitations,n_civil_fines,n_stop_placement,n_conditions,n_docs_total,latest_year,latest_enforcement_year,addr_shared_count,phone_shared_count,cluster_id
F01544,OP,Spokane,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1E,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2024,,1,1,
F01545,OP,King,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",2G,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2026,,1,1,
F01546,OP,King,6,"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",2E,,2026-06-26,Yes (has DSHS contract),1,2,0,0,0,0,0,3,2025,,1,1,
F01547,OP,King,6,"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",2G,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2026,,1,1,
F01548,OP,Pierce,8,"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,3F,,2026-06-26,Yes (has DSHS contract),0,1,0,0,0,0,0,1,2023,,1,1,
F01549,OP,King,6,"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",2G,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2025,,1,1,
F01550,OP,Spokane,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services, Specialized Behavior Support",1E,,2026-06-26,Yes (has DSHS contract),1,1,0,0,0,0,0,2,2024,,1,1,
F01551,OP,Pierce,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",3F,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2024,,1,1,
F01552,OP,Pierce,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",3A,,2026-06-26,Yes (has DSHS contract),1,0,0,3,0,0,0,4,2024,,1,1,
F01553,OP,King,8,"Mental Health, Dementia",,2G,,2026-06-26,No/Unknown,1,0,0,0,0,0,0,1,2025,,1,1,
F01554,OP,Spokane,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services, Specialized Behavior Support",1E,,2026-06-26,Yes (has DSHS contract),2,0,0,0,0,0,0,2,2026,,1,1,
F01555,OP,Pierce,3,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, Private Duty Nursing, Specialized Behavior Support",3A,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2024,,1,1,
F01556,OP,King,5,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",2E,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2025,,1,1,
F01557,OP,Pierce,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",3A,,2026-06-26,Yes (has DSHS contract),1,1,0,0,0,0,0,2,2023,,1,1,
F01558,OP,King,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day",2G,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2026,,1,1,
F01559,OP,King,6,"Mental Health, Dementia",Adult Family Home,2E,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2025,,1,1,
F01560,OP,Pierce,6,"Mental Health, Dementia","Adult Family Home, Expanded Community Services",3A,,2026-06-26,Yes (has DSHS contract),2,0,0,0,0,0,0,2,2025,,1,2,OP037
F01561,OP,King,5,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",2E,,2026-06-26,Yes (has DSHS contract),0,1,0,0,0,0,0,1,2024,,1,1,
F01562,OP,King,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services, Specialized Behavior Support",2E,,2026-06-26,Yes (has DSHS contract),0,0,0,0,0,0,0,0,,,1,1,
F01563,OP,Spokane,6,"Mental Health, Dementia","Adult Family Home, Expanded Community Services, Specialized Behavior Support",1E,,2026-06-26,Yes (has DSHS contract),2,0,0,0,0,0,0,2,2024,,1,1,
F01564,OP,Pierce,6,"Mental Health, Dementia","Adult Family Home, Expanded Community Services, WCF AFH SOW, WCF Respite",3A,,2026-06-26,Yes (has DSHS contract),1,1,0,0,0,0,0,2,2024,,1,1,
F01565,OP,Spokane,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, Specialized Behavior Support",1E,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2024,,1,1,
F01566,OP,King,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services",2E,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2025,,1,1,
F01567,OP,Pierce,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",3A,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2025,,1,1,
F01568,OP,Spokane,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, Specialized Behavior Support",1E,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2024,,1,1,
F01569,OP,Spokane,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1E,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2024,,1,1,
F01570,OP,Spokane,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services, Specialized Behavior Support",1E,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2024,,1,1,
F01571,OP,King,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",2G,,2026-06-26,Yes (has DSHS contract),1,1,0,0,0,0,0,2,2025,,1,1,
F01572,OP,Pierce,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services, Specialized Behavior Support",3F,,2026-06-26,Yes (has DSHS contract),0,0,0,0,0,0,0,0,,,1,1,
F01573,OP,King,6,"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",2E,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2025,,1,1,
F01574,OP,King,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",2G,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2025,,1,1,
F01575,OP,Spokane,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services, Specialized Behavior Support",1E,,2026-06-26,Yes (has DSHS contract),2,0,0,0,0,0,0,2,2026,,1,1,
F01576,OP,Spokane,5,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, Private Duty Nursing, Specialized Behavior Support",1E,,2026-06-26,Yes (has DSHS contract),1,1,0,0,0,0,0,2,2026,,1,1,
F01577,OP,King,6,"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,2E,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2025,,1,1,
F01578,OP,Spokane,5,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1E,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2024,,1,1,
F01579,OP,King,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",2G,,2026-06-26,Yes (has DSHS contract),0,1,0,0,0,0,0,1,2026,,1,1,
F01580,OP,King,5,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services",2G,,2026-06-26,Yes (has DSHS contract),1,0,0,2,0,0,0,3,2023,,1,1,
F01581,OP,Pierce,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services, Specialized Behavior Support",3A,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2025,,1,1,
F01582,OP,King,6,"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",2E,,2026-06-26,Yes (has DSHS contract),0,0,0,0,0,0,0,0,,,1,1,
F01583,OP,Pierce,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",3A,,2026-06-26,Yes (has DSHS contract),1,1,0,0,0,0,0,2,2024,,1,1,
F01584,OP,King,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",2G,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2025,,1,1,
F01585,OP,King,5,"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",2G,,2026-06-26,Yes (has DSHS contract),0,1,0,0,0,0,0,1,2023,,1,1,
F01586,OP,King,5,"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",2E,,2026-06-26,Yes (has DSHS contract),0,3,0,0,0,0,0,3,2024,,1,1,
F01587,OP,Spokane,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services, Specialized Behavior Support",1E,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2024,,1,1,
F01588,OP,King,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, WCF AFH SOW",2G,,2026-06-26,Yes (has DSHS contract),1,1,0,0,0,0,0,2,2024,,1,1,
F01589,OP,King,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, Specialized Behavior Support",2E,,2026-06-26,Yes (has DSHS contract),0,0,0,2,0,0,0,2,2022,,1,1,
F01590,OP,King,6,"Mental Health, Dementia, Developmental Disabilities",,2G,,2026-06-26,No/Unknown,0,0,0,0,0,0,0,0,,,1,1,
F01591,OP,Spokane,6,"Mental Health, Dementia","Adult Family Home, Expanded Community Services, Specialized Behavior Support",1E,,2026-06-26,Yes (has DSHS contract),2,0,0,0,0,0,0,2,2026,,1,1,
